                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5065,                 5.2318,                 1.5538,                 2.5056,                 9.4844,                   1.31,                0.00061,                0.09375,                 0.0008,                0.00033,                 1.6779,                 5.9186,                 1.2078,                 1.7606,                 9.3076,                 0.9938,             0.00066154,             0.00066154,             0.00066154
                      2,                 2.3733,                 3.7068,                 1.4903,                 2.4512,                 6.3976,                  1.322,                0.43183,                0.10938,                0.09482,                0.03574,                 1.6744,                 7.8893,                 2.7031,                 1.8054,                 13.656,                 1.2573,              0.0012756,              0.0012756,              0.0012756
                      3,                 2.4558,                  3.085,                  1.589,                 2.5131,                 4.7739,                 1.4072,                0.21565,                0.07812,                0.07353,                0.02934,                 1.8527,                 3.5118,                  1.148,                   1.87,                 4.1123,                0.98513,              0.0018369,              0.0018369,              0.0018369
                      4,                    2.4,                 2.5893,                 1.5146,                 2.4866,                 3.6058,                 1.3539,                0.22707,                0.09375,                0.10148,                0.03716,                 1.8052,                 2.7303,                 1.1256,                 1.9919,                 3.1317,                 1.0812,              0.0017624,              0.0017624,              0.0017624
                      5,                 2.3535,                  2.272,                 1.5112,                 2.4411,                  3.067,                  1.356,                0.22914,                0.23438,                0.14652,                0.05131,                 1.7666,                 2.1449,                 1.1391,                 1.7849,                 2.5429,                0.94898,              0.0017624,              0.0017624,              0.0017624
                      6,                 2.2183,                 2.0199,                 1.4509,                 2.3523,                 2.7038,                 1.3333,                 0.2374,                 0.1875,                0.14522,                0.04922,                 1.7482,                 2.2159,                 1.1604,                 1.9394,                 2.5597,                 1.0657,              0.0016832,              0.0016832,              0.0016832
                      7,                 2.1759,                 2.0149,                 1.4471,                  2.366,                  2.648,                 1.3319,                0.24278,                0.14062,                0.12839,                0.06377,                 1.5614,                 1.5831,                 1.0708,                  1.738,                 2.1691,                0.95822,               0.001604,               0.001604,               0.001604
                      8,                  2.169,                 1.8699,                 1.4543,                 2.2602,                 2.4599,                 1.3101,                0.35867,                0.20312,                0.16705,                0.07239,                   1.72,                 1.7734,                 1.0748,                 1.8098,                  2.131,                 0.9204,              0.0015248,              0.0015248,              0.0015248
                      9,                  2.124,                 1.8982,                 1.4203,                 2.2988,                 2.3996,                 1.2836,                0.36047,                 0.1875,                0.16467,                0.06737,                 1.7552,                 1.7074,                 1.0913,                 1.8528,                 2.1316,                0.93903,              0.0014456,              0.0014456,              0.0014456
                     10,                 2.0778,                 1.7897,                 1.3752,                 2.2635,                 2.3134,                 1.2611,                0.42438,                0.15625,                0.16196,                0.05967,                 1.6981,                 1.8012,                 1.0328,                 1.8585,                 2.0673,                0.94658,              0.0013664,              0.0013664,              0.0013664
                     11,                 2.0818,                  1.765,                   1.36,                 2.2467,                  2.314,                 1.2372,                0.24514,                0.17188,                0.16529,                 0.0815,                 1.7004,                 1.5828,                 1.1077,                 1.8147,                 1.9124,                0.96165,              0.0012872,              0.0012872,              0.0012872
                     12,                 2.0358,                 1.7389,                 1.3766,                 2.1727,                 2.2799,                 1.2522,                0.32723,                0.17188,                0.17107,                0.07861,                 1.6924,                 1.6065,                   1.07,                 1.6976,                 1.9451,                0.95874,               0.001208,               0.001208,               0.001208
                     13,                 2.0043,                 1.6058,                 1.3239,                 2.2132,                 2.0974,                  1.244,                0.24076,                 0.1875,                0.16433,                0.08364,                 1.5233,                 1.6214,                0.98036,                 1.6467,                  1.854,                0.90458,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.9345,                 1.5698,                 1.3087,                 2.1522,                 2.0547,                 1.2226,                0.31419,                   0.25,                0.14842,                0.06305,                  1.836,                 1.5922,                 1.1681,                 1.8286,                 1.9936,                 1.0232,              0.0010496,              0.0010496,              0.0010496
